column_name,ADMIN,STANDARD
name,WRITE,READ
submitted_name,WRITE,READ
description,WRITE,READ
source_url,WRITE,READ
agency_supplied,WRITE,READ
supplying_entity,WRITE,READ
agency_originated,WRITE,READ
agency_aggregation,WRITE,READ
coverage_start,WRITE,READ
coverage_end,WRITE,READ
detail_level,WRITE,READ
data_portal_type,WRITE,READ
record_formats,WRITE,READ
update_method,WRITE,READ
tags,WRITE,READ
readme_url,WRITE,READ
originating_entity,WRITE,READ
retention_schedule,WRITE,READ
scraper_url,WRITE,READ
submission_notes,WRITE,READ
rejection_note,WRITE,READ
last_approval_editor,WRITE,READ
submitter_contact_info,WRITE,READ
agency_described_submitted,WRITE,READ
agency_described_not_in_database,WRITE,READ
data_portal_type_other,WRITE,READ
data_source_request,WRITE,READ
broken_source_url_as_of,WRITE,READ
access_notes,WRITE,READ
url_status,WRITE,READ
approval_status,WRITE,READ
record_type_id,WRITE,READ
access_types,WRITE,READ
updated_at,READ,READ
created_at,READ,READ
id,READ,READ
approval_status_updated_at,READ,READ
airtable_uid,NONE,NONE
